代码,基金名,四分位,夏普率,标准差,同类排名,阶段涨幅,总分
009734,创金合信港股通大消费精选股票C,3.2,0.0,0.0,13.892,-6.174,10.917118450337494
008262,招商研究优选股票C,3.0,0.375,1.136,10.987,-4.692,10.806604151459101
004098,前海开源港股通股息率50强,4.0,0.45,5.627,5.487,-4.908,10.65623387861621
006819,安信盈利驱动股票C,2.8,0.98,2.832,6.751,-2.751,10.611539217295093
010120,九泰久福量化股票A,2.0,0.0,0.0,15.367,-6.78,10.587229760423561
008085,海富通先进制造股票A,3.6,0.06,1.654,10.933,-5.688,10.558616842160479
010121,九泰久福量化股票C,2.0,0.0,0.0,15.341,-6.787,10.554397586802159
010680,华夏新兴成长股票A,2.0,0.0,0.0,15.326,-6.786,10.539462779219441
011651,招商港股通核心精选股票A,1.0,0.0,0.0,16.425,-6.892,10.532406587273787
009896,广发港股通成长精选股票A,3.0,0.0,0.0,13.81,-6.288,10.522306648366904
008854,南方内需增长两年股票A,3.4,0.302,1.143,10.762,-5.099,10.50842571992212
011652,招商港股通核心精选股票C,1.0,0.0,0.0,16.395,-6.896,10.499222966408492
010681,华夏新兴成长股票C,2.0,0.0,0.0,15.272,-6.796,10.475863028609897
009107,嘉合同顺智选股票C,3.4,0.215,0.838,11.413,-5.4,10.46589738671129
008084,海富通先进制造股票C,3.6,0.057,1.654,10.862,-5.725,10.448532813146329
009897,广发港股通成长精选股票C,3.0,0.0,0.0,13.752,-6.303,10.448154683305434
007965,民生加银品质消费股票A,3.2,0.372,1.259,10.298,-4.702,10.42827999731578
010592,南方医药创新股票A,2.0,0.0,0.0,15.244,-6.816,10.427683993954716
009805,国泰医药健康股票A,3.0,0.0,0.0,13.624,-6.215,10.40958702421261
010593,南方医药创新股票C,2.0,0.0,0.0,15.205,-6.825,10.379714943293408
011066,大成高新技术产业股票C,2.0,0.0,0.0,15.178,-6.8,10.378197559400906
011013,长城消费30股票A,1.0,0.0,0.0,16.248,-6.906,10.342265742814043
010585,创金合信医药消费股票A,3.2,0.0,0.0,13.167,-6.039,10.32791442075209
011014,长城消费30股票C,1.0,0.0,0.0,16.231,-6.909,10.322522722217931
011384,南方远见回报股票A,0.8,0.0,0.0,16.365,-6.846,10.319280997447693
011385,南方远见回报股票C,0.8,0.0,0.0,16.349,-6.848,10.301053816920309
010204,中银港股通优势成长股票,2.0,0.0,0.0,15.133,-6.835,10.29780322417285
007966,民生加银品质消费股票C,3.2,0.368,1.259,10.192,-4.745,10.273276489139477
008855,南方内需增长两年股票C,3.4,0.295,1.143,10.591,-5.162,10.267066526521827
011473,工银战略转型股票C,1.6,0.0,0.0,15.444,-6.782,10.26207656257355
010703,财通智选消费股票A,2.0,0.0,0.0,15.019,-6.766,10.252896414991586
010704,财通智选消费股票C,2.0,0.0,0.0,14.994,-6.771,10.223265494109981
010586,创金合信医药消费股票C,3.2,0.0,0.0,13.076,-6.06,10.215690863088419
007853,华商计算机行业量化股票,3.4,0.12,1.312,10.865,-5.602,10.096025106927215
003232,创金合信金融地产A,2.8,0.723,7.331,2.659,-3.421,10.09208541767402
002334,汇丰晋信大盘波动股票A,3.4,0.952,4.26,4.944,-3.466,10.090094803530924
008134,鹏华优选价值股票,3.4,0.233,0.984,10.873,-5.43,10.059637358684405
011236,上投摩根行业睿选股票A,1.8,0.0,0.0,14.991,-6.809,9.981626072298589
009126,嘉实基础产业优选股票A,3.2,0.38,0.916,10.686,-5.222,9.95931231543309
011237,上投摩根行业睿选股票C,1.8,0.0,0.0,14.951,-6.816,9.934846867591002
011424,汇添富外延增长股票C,1.6,0.0,0.0,15.066,-6.773,9.892196235446082
010196,易方达核心优势股票A,1.8,0.0,0.0,14.855,-6.869,9.786148029840977
010801,长江量化消费精选股票A,1.8,0.0,0.0,14.846,-6.88,9.766762594477916
011722,前海开源深圳特区精选股票A,0.8,0.0,0.0,15.91,-6.968,9.74221514287607
011723,前海开源深圳特区精选股票C,0.8,0.0,0.0,15.908,-6.968,9.739786745310147
010998,博道消费智航,0.8,0.0,0.0,15.877,-6.944,9.733236139049113
010802,长江量化消费精选股票C,1.8,0.0,0.0,14.811,-6.889,9.722404713753367
010434,红土创新医疗保健股票,3.0,0.0,0.0,13.038,-6.377,9.660296437596209
002335,汇丰晋信大盘波动股票C,3.4,0.9,4.26,4.763,-3.673,9.649526849623678
003233,创金合信金融地产C,2.8,0.685,7.334,2.456,-3.69,9.585362867473595
006781,汇丰晋信港股通精选股票,3.4,0.44,3.116,7.406,-4.791,9.56985019704929
011295,信诚量化阿尔法股票C,0.6,0.0,0.0,15.815,-6.942,9.473372982918708
009127,嘉实基础产业优选股票C,2.8,0.375,0.916,10.586,-5.273,9.403162783434617
010197,易方达核心优势股票C,1.4,0.0,0.0,14.827,-6.874,9.352768809217448
010349,诺安低碳经济股票C,2.4,0.0,0.0,13.365,-6.44,9.32493111754085
010001,创金合信研究精选股票A,2.6,0.0,0.0,13.069,-6.396,9.27387331418786
008075,招商核心优选股票A,3.2,0.3,1.221,9.801,-5.33,9.191444390761795
008382,融通产业趋势股票,3.0,0.178,1.378,10.091,-5.469,9.177077947740568
009658,汇丰晋信中小盘低波动策略股票A,2.6,0.0,0.0,13.003,-6.427,9.175155713729552
010002,创金合信研究精选股票C,2.6,0.0,0.0,12.967,-6.421,9.145335015300452
010815,农银新兴消费股票,1.4,0.0,0.0,14.617,-6.96,9.056598848555172
009775,汇丰晋信中小盘低波动策略股票C,2.6,0.0,0.0,12.867,-6.459,9.008463501320973
011326,国泰医药健康股票C,1.4,0.0,0.0,14.447,-6.87,8.977066473520768
008934,大成科技消费股票A,2.8,0.0,0.0,12.531,-6.466,8.86502281251924
010896,太平价值增长股票A,0.4,0.0,0.0,15.368,-7.034,8.734926333187133
010897,太平价值增长股票C,0.4,0.0,0.0,15.355,-7.036,8.718969892849222
007614,德邦民裕进取量化精锐股票A,3.6,0.182,0.976,10.271,-6.314,8.71556115437259
011179,浙商智选食品饮料股票A,0.4,0.0,0.0,15.333,-7.034,8.698168695683156
011180,浙商智选食品饮料股票C,0.4,0.0,0.0,15.325,-7.036,8.689293893880983
006106,景顺长城量化港股通股票,3.0,0.192,0.834,10.497,-5.853,8.67024931781679
001663,中银互联网+股票,2.2,0.63,7.276,2.146,-3.637,8.613790943095895
007615,德邦民裕进取量化精锐股票C,3.6,0.175,0.976,10.209,-6.364,8.595337854505992
008935,大成科技消费股票C,2.6,0.0,0.0,12.387,-6.498,8.489388488418463
011476,工银新蓝筹股票C,1.2,0.0,0.0,14.257,-6.981,8.476054890606989
008303,宝盈龙头优选股票A,2.8,0.175,1.165,10.015,-5.8,8.354566353536308
008304,宝盈龙头优选股票C,2.8,0.168,1.165,9.938,-5.88,8.190159784388904
008076,招商核心优选股票C,2.4,0.29,1.22,9.558,-5.412,8.055368128651615
007354,创金合信港股通量化股票A,1.2,0.0,0.0,14.019,-7.168,8.051030534080798
007357,创金合信港股通量化股票C,1.2,0.0,0.0,13.995,-7.179,8.016411239463991
006603,嘉实互融精选股票,2.6,0.545,3.136,5.972,-4.252,8.00069609170983
006911,长江量化匠心甄选A,2.6,0.595,3.361,5.268,-4.172,7.65194056838428
009863,富国创新趋势股票,2.2,0.0,0.0,12.12,-6.776,7.543941532848218
006138,国联安价值优选股票,2.4,0.852,2.822,5.199,-3.788,7.485578455420269
011220,南方匠心优选股票A,0.8,0.0,0.0,13.638,-7.082,7.356426277667433
006957,长江量化匠心甄选C,2.6,0.572,3.359,5.137,-4.329,7.339841857865862
010235,广发资源优选股票C,2.0,0.0,0.0,12.077,-6.74,7.337017230673053
011221,南方匠心优选股票C,0.8,0.0,0.0,13.612,-7.09,7.32150945354011
010010,国投瑞银港股通6个月定开股票,2.2,0.0,0.0,11.841,-6.836,7.204271310019929
